_id,Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Dirección,Motor(cilindraje),Tapizado,Placa,Tipo de Motor
673cb4979cca20c871685b37,2018,29980,32.9,Quito,Negociable,USED,Toyota,Todoterreno,NEW RAV4 AC 2.0 5P,,,,,,,,,,,,,,
673cb4979cca20c871685b38,2017,83000,16.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,
673cb4979cca20c871685b39,2016,95000,12.9,Quito,Fijo,USED,Great Wall,Todoterreno,H5,,,,,,,,,,,,,,
673cb4979cca20c871685b3a,2022,40000,26.4,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,
673cb4979cca20c871685b3b,2023,0,31.6,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI 2.5 CD 4X2 TM DIESEL,,,,,,,,,,,,,,
673cb4979cca20c871685b3c,2016,149000,14.9,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD ACTION 2.6,,,,,,,,,,,,,,
673cb4979cca20c871685b3d,2016,116000,22.9,Quito,Negociable,USED,Honda,Todoterreno,HRV,,,,,,,,,,,,,,
673cb4979cca20c871685b3e,2016,81880,25.4,Quito,Negociable,USED,Nissan,Crossover,X-Trail Advance,,,,,,,,,,,,,,
673cb4979cca20c871685b3f,2019,73019,95.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 Raptor AC,,,,,,,,,,,,,,
673cb4979cca20c871685b40,2019,19731,50.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-9,,,,,,,,,,,,,,
673cb4979cca20c871685b41,1979,300,6.9,Quito,Fijo,USED,Ford,Sedán,Mustang,,,,,,,,,,,,,,
673cb4979cca20c871685b42,2015,107000,15.99,Otavalo,Fijo,USED,Chevrolet,Todoterreno,Grand Vitara 5p 4x2,,,,,,,,,,,,,,
673cb4979cca20c871685b43,2008,248000,17.99,Otavalo,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,
673cb4979cca20c871685b44,2013,253965,24.9,Quito,Fijo,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x4 Diesel,,,,,,,,,,,,,,
673cb4979cca20c871685b45,2008,166366,17.9,Quito,Fijo,USED,Mazda,Todoterreno,CX-9,,,,,,,,,,,,,,
673cb4979cca20c871685b46,2019,74000,14.9,Quito,Negociable,USED,Great Wall,Todoterreno,H6,,,,,,,,,,,,,,
673cb4979cca20c871685b47,2012,175000,14.6,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Classic,,,,,,,,,,,,,,
673cb4979cca20c871685b48,2012,175000,14.6,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,
673cb4979cca20c871685b49,2015,68000,16.9,Quito,Negociable,USED,Hyundai,Sedán,Sonata Hybrid,,,,,,,,,,,,,,
673cb4979cca20c871685b4a,2018,70000,19.9,Quito,Negociable,USED,Great Wall,Todoterreno,H5,#1722193,95000 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Plomo,7,Hidráulica,2000,Cuero,Pichincha,turbo
673cb4979cca20c871685b4b,2006,192000,19.4,Quito,Negociable,USED,Toyota,Todoterreno,Prado 3P,,,,,,,,,,,,,,
673cb4979cca20c871685b4c,2010,143275,57.9,Cuenca,Negociable,USED,Toyota,Todoterreno,FJ Cruiser TRD,,,,,,,,,,,,,,
673cb4979cca20c871685b4d,2015,143275,57.9,Cuenca,Negociable,USED,Toyota,Todoterreno,FJ Cruiser,,,,,,,,,,,,,,
673cb4979cca20c871685b4e,2016,116000,22.9,Quito,Negociable,USED,Honda,Todoterreno,HRV,,,,,,,,,,,,,,
673cb4979cca20c871685b4f,2013,306177,19.9,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok 4x4,,,,,,,,,,,,,,
673cb4979cca20c871685b50,2008,153000,27.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Montero 5P,,,,,,,,,,,,,,
673cb4979cca20c871685b51,2010,203078,19.9,Cuenca,Negociable,USED,Toyota,Sedán,Prius Hybrido,,,,,,,,,,,,,,
673cb4979cca20c871685b52,2010,203078,19.9,Cuenca,Negociable,USED,Toyota,Sedán,Prius,,,,,,,,,,,,,,
673cb4979cca20c871685b53,2019,140000,16.7,Quito,Negociable,USED,Chery,Todoterreno,Tiggo 5,,,,,,,,,,,,,,
673cb4979cca20c871685b54,2017,117000,11.3,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Emotion,,,,,,,,,,,,,,
673cb4979cca20c871685b55,2017,117000,11.3,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Activo,,,,,,,,,,,,,,
673cb4979cca20c871685b56,2019,54000,16.8,Cuenca,Negociable,USED,Renault,Todoterreno,Duster 1.6,,,,,,,,,,,,,,
673cb4979cca20c871685b57,2019,53800,19.9,Quito,Negociable,USED,Fiat,Hatchback (3 Puertas),500,,,,,,,,,,,,,,
673cb4979cca20c871685b58,2019,46671,86.9,Quito,Fijo,USED,Toyota,Todoterreno,4 Runner SR5,,,,,,,,,,,,,,
673cb4979cca20c871685b59,2007,256527,8.5,Quito,Negociable,USED,Mazda,Hatchback (5 Puertas),3,,,,,,,,,,,,,,
673cb4979cca20c871685b5a,2014,166855,14.9,Quito,Fijo,USED,Volkswagen,Sedán,New Jetta,,,,,,,,,,,,,,
673cb4979cca20c871685b5b,2018,111225,13.9,Quito,Negociable,USED,Peugeot,Sedán,301,,,,,,,,,,,,,,
673cb4979cca20c871685b5c,2023,0,95.6,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,Silverado Trailboss Z71 AC,,,,,,,,,,,,,,
673cb4979cca20c871685b5d,1995,1000,5.3,Quito,Negociable,USED,Suzuki,Hatchback (3 Puertas),Forsa 2,,,,,,,,,,,,,,
673cb4979cca20c871685b5e,2023,0,95.6,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,Silverado Z71,,,,,,,,,,,,,,
673cb4979cca20c871685b5f,2005,231,8.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,
673cb4979cca20c871685b60,2014,109940,43.9,Quito,Negociable,USED,Land Rover,Todoterreno,Range Rover Evoque,,,,,,,,,,,,,,
673cb4979cca20c871685b61,2018,14802,22.3,Cuenca,Negociable,USED,Fiat,Hatchback (3 Puertas),500,,,,,,,,,,,,,,
673cb4979cca20c871685b62,2020,64200,21.9,Quito,Negociable,USED,Hyundai,Todoterreno,Creta,,,,,,,,,,,,,,
673cb4979cca20c871685b63,2019,42000,26.9,Quito,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,
673cb4979cca20c871685b64,2011,137,10.9,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),GOL 1.6,,,,,,,,,,,,,,
673cb4979cca20c871685b65,2015,25000,89,Cuenca,Negociable,USED,Porsche,Todoterreno,Macan S,,,,,,,,,,,,,,
673cb4979cca20c871685b66,2023,7400,22.9,Quito,Negociable,USED,Chery,Todoterreno,Tiggo 7 PRO,,,,,,,,,,,,,,
673cb4979cca20c871685b67,2019,38000,19.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Tracker,,,,,,,,,,,,,,
